indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,28.33,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,75.05,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Buenos Aires,4 y 5 estrellas,102.64,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Buenos Aires,Para Hoteles,45.58,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Buenos Aires,Total,52.83,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,CABA,1 y 2 estrellas,17.89,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,CABA,3 estrellas/boutiques/aparts,44.81,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,CABA,4 y 5 estrellas,77.94,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,CABA,Para Hoteles,10.04,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,CABA,Total,45.33,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Cuyo,1 y 2 estrellas,12.19,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,27.3,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Cuyo,4 y 5 estrellas,40.33,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Cuyo,Para Hoteles,14.14,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Cuyo,Total,23.1,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Córdoba,1 y 2 estrellas,42.17,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,57.96,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Córdoba,4 y 5 estrellas,46.31,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Córdoba,Para Hoteles,59.63,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Córdoba,Total,52.2,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Litoral,1 y 2 estrellas,22.33,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Litoral,3 estrellas/boutiques/aparts,27.25,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Litoral,4 y 5 estrellas,51.99,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Litoral,Para Hoteles,30.11,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Litoral,Total,33.84,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Norte,1 y 2 estrellas,14.59,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Norte,3 estrellas/boutiques/aparts,25.7,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Norte,4 y 5 estrellas,30.98,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Norte,Para Hoteles,13.29,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Norte,Total,19.75,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Patagonia,1 y 2 estrellas,20.95,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Patagonia,3 estrellas/boutiques/aparts,58.08,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Patagonia,4 y 5 estrellas,69.85,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Patagonia,Para Hoteles,23.57,Calculado a valores de la cotización oficial de venta de la divisa.
2012-01-01,Patagonia,Total,39.51,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Buenos Aires,1 y 2 estrellas,20.88,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Buenos Aires,3 estrellas/boutiques/aparts,56.35,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Buenos Aires,4 y 5 estrellas,81.8,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Buenos Aires,Para Hoteles,38.48,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Buenos Aires,Total,41.38,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,CABA,1 y 2 estrellas,18.32,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,CABA,3 estrellas/boutiques/aparts,43.12,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,CABA,4 y 5 estrellas,78.42,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,CABA,Para Hoteles,10.15,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,CABA,Total,45.26,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Cuyo,1 y 2 estrellas,11.74,Calculado a valores de la cotización oficial de venta de la divisa.
