indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,122.5,""
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,324.6,""
2012-01-01,Buenos Aires,4 y 5 estrellas,443.9,""
2012-01-01,Buenos Aires,Para Hoteles,197.1,""
2012-01-01,Buenos Aires,Total,228.5,""
2012-01-01,CABA,1 y 2 estrellas,77.4,""
2012-01-01,CABA,3 estrellas/boutiques/aparts,193.8,""
2012-01-01,CABA,4 y 5 estrellas,337.1,""
2012-01-01,CABA,Para Hoteles,43.4,""
2012-01-01,CABA,Total,196,""
2012-01-01,Cuyo,1 y 2 estrellas,52.7,""
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,118.1,""
2012-01-01,Cuyo,4 y 5 estrellas,174.4,""
2012-01-01,Cuyo,Para Hoteles,61.2,""
2012-01-01,Cuyo,Total,99.9,""
2012-01-01,Córdoba,1 y 2 estrellas,182.4,""
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,250.7,""
2012-01-01,Córdoba,4 y 5 estrellas,200.3,""
2012-01-01,Córdoba,Para Hoteles,257.9,""
2012-01-01,Córdoba,Total,225.7,""
2012-01-01,Litoral,1 y 2 estrellas,96.6,""
2012-01-01,Litoral,3 estrellas/boutiques/aparts,117.9,""
2012-01-01,Litoral,4 y 5 estrellas,224.9,""
2012-01-01,Litoral,Para Hoteles,130.2,""
2012-01-01,Litoral,Total,146.3,""
2012-01-01,Norte,1 y 2 estrellas,63.1,""
2012-01-01,Norte,3 estrellas/boutiques/aparts,111.1,""
2012-01-01,Norte,4 y 5 estrellas,134,""
2012-01-01,Norte,Para Hoteles,57.5,""
2012-01-01,Norte,Total,85.4,""
2012-01-01,Patagonia,1 y 2 estrellas,90.6,""
2012-01-01,Patagonia,3 estrellas/boutiques/aparts,251.2,""
2012-01-01,Patagonia,4 y 5 estrellas,302.1,""
2012-01-01,Patagonia,Para Hoteles,101.9,""
2012-01-01,Patagonia,Total,170.9,""
2012-02-01,Buenos Aires,1 y 2 estrellas,90.8,""
2012-02-01,Buenos Aires,3 estrellas/boutiques/aparts,245.1,""
2012-02-01,Buenos Aires,4 y 5 estrellas,355.8,""
2012-02-01,Buenos Aires,Para Hoteles,167.4,""
2012-02-01,Buenos Aires,Total,180,""
2012-02-01,CABA,1 y 2 estrellas,79.7,""
2012-02-01,CABA,3 estrellas/boutiques/aparts,187.5,""
2012-02-01,CABA,4 y 5 estrellas,341.1,""
2012-02-01,CABA,Para Hoteles,44.1,""
2012-02-01,CABA,Total,196.9,""
2012-02-01,Cuyo,1 y 2 estrellas,51.1,""
2012-02-01,Cuyo,3 estrellas/boutiques/aparts,123.8,""
2012-02-01,Cuyo,4 y 5 estrellas,204.4,""
2012-02-01,Cuyo,Para Hoteles,49.1,""
2012-02-01,Cuyo,Total,104,""
2012-02-01,Córdoba,1 y 2 estrellas,151.7,""
2012-02-01,Córdoba,3 estrellas/boutiques/aparts,233.4,""
2012-02-01,Córdoba,4 y 5 estrellas,179.2,""
2012-02-01,Córdoba,Para Hoteles,235.2,""
2012-02-01,Córdoba,Total,201.3,""
2012-02-01,Litoral,1 y 2 estrellas,88.9,""
2012-02-01,Litoral,3 estrellas/boutiques/aparts,127.1,""
2012-02-01,Litoral,4 y 5 estrellas,219.4,""
2012-02-01,Litoral,Para Hoteles,142.5,""
2012-02-01,Litoral,Total,150,""
2012-02-01,Norte,1 y 2 estrellas,55.3,""
2012-02-01,Norte,3 estrellas/boutiques/aparts,101.8,""
2012-02-01,Norte,4 y 5 estrellas,150.2,""
2012-02-01,Norte,Para Hoteles,52,""
2012-02-01,Norte,Total,81.8,""
2012-02-01,Patagonia,1 y 2 estrellas,80.4,""
2012-02-01,Patagonia,3 estrellas/boutiques/aparts,220.5,""
2012-02-01,Patagonia,4 y 5 estrellas,286.5,""
2012-02-01,Patagonia,Para Hoteles,88.6,""
2012-02-01,Patagonia,Total,155,""
2012-03-01,Buenos Aires,1 y 2 estrellas,43.1,""
2012-03-01,Buenos Aires,3 estrellas/boutiques/aparts,107.1,""
2012-03-01,Buenos Aires,4 y 5 estrellas,157.9,""
2012-03-01,Buenos Aires,Para Hoteles,78.7,""
2012-03-01,Buenos Aires,Total,85,""
2012-03-01,CABA,1 y 2 estrellas,96.4,""
2012-03-01,CABA,3 estrellas/boutiques/aparts,231.3,""
2012-03-01,CABA,4 y 5 estrellas,440.7,""
2012-03-01,CABA,Para Hoteles,45.2,""
2012-03-01,CABA,Total,248.6,""
2012-03-01,Cuyo,1 y 2 estrellas,60.6,""
2012-03-01,Cuyo,3 estrellas/boutiques/aparts,101.3,""
2012-03-01,Cuyo,4 y 5 estrellas,201.5,""
2012-03-01,Cuyo,Para Hoteles,29.6,""
2012-03-01,Cuyo,Total,93.8,""
2012-03-01,Córdoba,1 y 2 estrellas,105.8,""
2012-03-01,Córdoba,3 estrellas/boutiques/aparts,152,""
2012-03-01,Córdoba,4 y 5 estrellas,155.9,""
2012-03-01,Córdoba,Para Hoteles,92.9,""
2012-03-01,Córdoba,Total,117.8,""
2012-03-01,Litoral,1 y 2 estrellas,72,""
2012-03-01,Litoral,3 estrellas/boutiques/aparts,107.9,""
2012-03-01,Litoral,4 y 5 estrellas,198,""
2012-03-01,Litoral,Para Hoteles,119.6,""
2012-03-01,Litoral,Total,129.2,""
2012-03-01,Norte,1 y 2 estrellas,41.6,""
2012-03-01,Norte,3 estrellas/boutiques/aparts,104.3,""
2012-03-01,Norte,4 y 5 estrellas,138,""
2012-03-01,Norte,Para Hoteles,38.1,""
2012-03-01,Norte,Total,72.5,""
2012-03-01,Patagonia,1 y 2 estrellas,70.8,""
2012-03-01,Patagonia,3 estrellas/boutiques/aparts,168.7,""
2012-03-01,Patagonia,4 y 5 estrellas,208.3,""
2012-03-01,Patagonia,Para Hoteles,56.4,""
2012-03-01,Patagonia,Total,116,""
2012-04-01,Buenos Aires,1 y 2 estrellas,38.5,""
2012-04-01,Buenos Aires,3 estrellas/boutiques/aparts,95.7,""
2012-04-01,Buenos Aires,4 y 5 estrellas,149.7,""
2012-04-01,Buenos Aires,Para Hoteles,62.9,""
2012-04-01,Buenos Aires,Total,75.3,""
2012-04-01,CABA,1 y 2 estrellas,103.8,""
2012-04-01,CABA,3 estrellas/boutiques/aparts,216.2,""
2012-04-01,CABA,4 y 5 estrellas,362.5,""
2012-04-01,CABA,Para Hoteles,43.8,""
2012-04-01,CABA,Total,217.2,""
2012-04-01,Cuyo,1 y 2 estrellas,50.7,""
2012-04-01,Cuyo,3 estrellas/boutiques/aparts,102.5,""
2012-04-01,Cuyo,4 y 5 estrellas,204.2,""
2012-04-01,Cuyo,Para Hoteles,27.3,""
2012-04-01,Cuyo,Total,91.7,""
2012-04-01,Córdoba,1 y 2 estrellas,95.5,""
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,137.2,""
2012-04-01,Córdoba,4 y 5 estrellas,171.9,""
2012-04-01,Córdoba,Para Hoteles,84.4,""
2012-04-01,Córdoba,Total,109.6,""
2012-04-01,Litoral,1 y 2 estrellas,69.8,""
2012-04-01,Litoral,3 estrellas/boutiques/aparts,115.6,""
2012-04-01,Litoral,4 y 5 estrellas,219.1,""
2012-04-01,Litoral,Para Hoteles,73.5,""
2012-04-01,Litoral,Total,123.5,""
2012-04-01,Norte,1 y 2 estrellas,55.7,""
2012-04-01,Norte,3 estrellas/boutiques/aparts,110.1,""
2012-04-01,Norte,4 y 5 estrellas,202.9,""
2012-04-01,Norte,Para Hoteles,43.7,""
2012-04-01,Norte,Total,90.3,""
2012-04-01,Patagonia,1 y 2 estrellas,70.8,""
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,129.3,""
2012-04-01,Patagonia,4 y 5 estrellas,181.9,""
2012-04-01,Patagonia,Para Hoteles,48.4,""
2012-04-01,Patagonia,Total,97.6,""
2012-05-01,Buenos Aires,1 y 2 estrellas,21.9,""
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,56.8,""
2012-05-01,Buenos Aires,4 y 5 estrellas,91.4,""
2012-05-01,Buenos Aires,Para Hoteles,38.5,""
2012-05-01,Buenos Aires,Total,45.1,""
2012-05-01,CABA,1 y 2 estrellas,85.5,""
2012-05-01,CABA,3 estrellas/boutiques/aparts,184,""
2012-05-01,CABA,4 y 5 estrellas,316.3,""
2012-05-01,CABA,Para Hoteles,39.1,""
2012-05-01,CABA,Total,188.4,""
2012-05-01,Cuyo,1 y 2 estrellas,43.9,""
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,85.3,""
2012-05-01,Cuyo,4 y 5 estrellas,142.5,""
2012-05-01,Cuyo,Para Hoteles,19.3,""
2012-05-01,Cuyo,Total,70.1,""
2012-05-01,Córdoba,1 y 2 estrellas,79.9,""
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,107,""
2012-05-01,Córdoba,4 y 5 estrellas,156,""
2012-05-01,Córdoba,Para Hoteles,41.4,""
2012-05-01,Córdoba,Total,84,""
2012-05-01,Litoral,1 y 2 estrellas,53.8,""
2012-05-01,Litoral,3 estrellas/boutiques/aparts,101.9,""
2012-05-01,Litoral,4 y 5 estrellas,181.1,""
2012-05-01,Litoral,Para Hoteles,48.2,""
2012-05-01,Litoral,Total,99,""
2012-05-01,Norte,1 y 2 estrellas,40.6,""
2012-05-01,Norte,3 estrellas/boutiques/aparts,89.6,""
2012-05-01,Norte,4 y 5 estrellas,173.7,""
2012-05-01,Norte,Para Hoteles,34.8,""
2012-05-01,Norte,Total,73.2,""
2012-05-01,Patagonia,1 y 2 estrellas,72,""
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,94.6,""
2012-05-01,Patagonia,4 y 5 estrellas,116.5,""
2012-05-01,Patagonia,Para Hoteles,30.3,""
2012-05-01,Patagonia,Total,71.6,""
2012-06-01,Buenos Aires,1 y 2 estrellas,22,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,45.4,""
2012-06-01,Buenos Aires,4 y 5 estrellas,67.2,""
2012-06-01,Buenos Aires,Para Hoteles,29.2,""
2012-06-01,Buenos Aires,Total,36.3,""
2012-06-01,CABA,1 y 2 estrellas,92.9,""
2012-06-01,CABA,3 estrellas/boutiques/aparts,189,""
2012-06-01,CABA,4 y 5 estrellas,312.9,""
2012-06-01,CABA,Para Hoteles,40.6,""
2012-06-01,CABA,Total,190.5,""
2012-06-01,Cuyo,1 y 2 estrellas,40.4,""
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,84.8,""
2012-06-01,Cuyo,4 y 5 estrellas,179.8,""
2012-06-01,Cuyo,Para Hoteles,17.4,""
2012-06-01,Cuyo,Total,76.7,""
2012-06-01,Córdoba,1 y 2 estrellas,39.8,""
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,91.8,""
2012-06-01,Córdoba,4 y 5 estrellas,146.1,""
2012-06-01,Córdoba,Para Hoteles,24.1,""
2012-06-01,Córdoba,Total,60.5,""
2012-06-01,Litoral,1 y 2 estrellas,61.9,""
2012-06-01,Litoral,3 estrellas/boutiques/aparts,107.6,""
2012-06-01,Litoral,4 y 5 estrellas,181.8,""
2012-06-01,Litoral,Para Hoteles,37.8,""
2012-06-01,Litoral,Total,98.9,""
2012-06-01,Norte,1 y 2 estrellas,47.8,""
2012-06-01,Norte,3 estrellas/boutiques/aparts,87.5,""
2012-06-01,Norte,4 y 5 estrellas,180.1,""
2012-06-01,Norte,Para Hoteles,29.7,""
2012-06-01,Norte,Total,73.5,""
2012-06-01,Patagonia,1 y 2 estrellas,57.3,""
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,109.9,""
