indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,2528,""
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3244,""
2012-01-01,Buenos Aires,4 y 5 estrellas,1987,""
2012-01-01,Buenos Aires,Para Hoteles,4252,""
2012-01-01,CABA,1 y 2 estrellas,1082,""
2012-01-01,CABA,3 estrellas/boutiques/aparts,3844,""
2012-01-01,CABA,4 y 5 estrellas,8493,""
2012-01-01,CABA,Para Hoteles,1759,""
2012-01-01,Cuyo,1 y 2 estrellas,1007,""
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,1858,""
2012-01-01,Cuyo,4 y 5 estrellas,2583,""
2012-01-01,Cuyo,Para Hoteles,929,""
2012-01-01,Córdoba,1 y 2 estrellas,1720,""
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,1642,""
2012-01-01,Córdoba,4 y 5 estrellas,960,""
2012-01-01,Córdoba,Para Hoteles,2477,""
2012-01-01,Litoral,1 y 2 estrellas,924,""
2012-01-01,Litoral,3 estrellas/boutiques/aparts,1910,""
2012-01-01,Litoral,4 y 5 estrellas,3573,""
2012-01-01,Litoral,Para Hoteles,1969,""
2012-01-01,Norte,1 y 2 estrellas,775,""
2012-01-01,Norte,3 estrellas/boutiques/aparts,1554,""
2012-01-01,Norte,4 y 5 estrellas,1357,""
2012-01-01,Norte,Para Hoteles,1383,""
2012-01-01,Patagonia,1 y 2 estrellas,1758,""
2012-01-01,Patagonia,3 estrellas/boutiques/aparts,2832,""
2012-01-01,Patagonia,4 y 5 estrellas,3108,""
2012-01-01,Patagonia,Para Hoteles,2714,""
2012-02-01,Buenos Aires,1 y 2 estrellas,2528,""
2012-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3186,""
2012-02-01,Buenos Aires,4 y 5 estrellas,2194,""
2012-02-01,Buenos Aires,Para Hoteles,4519,""
2012-02-01,CABA,1 y 2 estrellas,1028,""
2012-02-01,CABA,3 estrellas/boutiques/aparts,3862,""
2012-02-01,CABA,4 y 5 estrellas,8428,""
2012-02-01,CABA,Para Hoteles,1652,""
2012-02-01,Cuyo,1 y 2 estrellas,1017,""
2012-02-01,Cuyo,3 estrellas/boutiques/aparts,1941,""
2012-02-01,Cuyo,4 y 5 estrellas,2552,""
2012-02-01,Cuyo,Para Hoteles,945,""
2012-02-01,Córdoba,1 y 2 estrellas,1793,""
2012-02-01,Córdoba,3 estrellas/boutiques/aparts,1506,""
2012-02-01,Córdoba,4 y 5 estrellas,872,""
2012-02-01,Córdoba,Para Hoteles,2294,""
2012-02-01,Litoral,1 y 2 estrellas,860,""
2012-02-01,Litoral,3 estrellas/boutiques/aparts,1903,""
2012-02-01,Litoral,4 y 5 estrellas,3598,""
2012-02-01,Litoral,Para Hoteles,1972,""
2012-02-01,Norte,1 y 2 estrellas,864,""
2012-02-01,Norte,3 estrellas/boutiques/aparts,1545,""
2012-02-01,Norte,4 y 5 estrellas,1411,""
2012-02-01,Norte,Para Hoteles,1405,""
2012-02-01,Patagonia,1 y 2 estrellas,1547,""
2012-02-01,Patagonia,3 estrellas/boutiques/aparts,2788,""
2012-02-01,Patagonia,4 y 5 estrellas,3155,""
2012-02-01,Patagonia,Para Hoteles,2566,""
2012-03-01,Buenos Aires,1 y 2 estrellas,1532,""
2012-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2328,""
2012-03-01,Buenos Aires,4 y 5 estrellas,1845,""
2012-03-01,Buenos Aires,Para Hoteles,3792,""
2012-03-01,CABA,1 y 2 estrellas,1022,""
2012-03-01,CABA,3 estrellas/boutiques/aparts,3842,""
2012-03-01,CABA,4 y 5 estrellas,8591,""
2012-03-01,CABA,Para Hoteles,1659,""
2012-03-01,Cuyo,1 y 2 estrellas,1028,""
2012-03-01,Cuyo,3 estrellas/boutiques/aparts,1885,""
2012-03-01,Cuyo,4 y 5 estrellas,2523,""
2012-03-01,Cuyo,Para Hoteles,827,""
2012-03-01,Córdoba,1 y 2 estrellas,1559,""
2012-03-01,Córdoba,3 estrellas/boutiques/aparts,1413,""
2012-03-01,Córdoba,4 y 5 estrellas,898,""
2012-03-01,Córdoba,Para Hoteles,1736,""
2012-03-01,Litoral,1 y 2 estrellas,938,""
2012-03-01,Litoral,3 estrellas/boutiques/aparts,1928,""
2012-03-01,Litoral,4 y 5 estrellas,3756,""
2012-03-01,Litoral,Para Hoteles,1870,""
2012-03-01,Norte,1 y 2 estrellas,860,""
2012-03-01,Norte,3 estrellas/boutiques/aparts,1655,""
2012-03-01,Norte,4 y 5 estrellas,1325,""
2012-03-01,Norte,Para Hoteles,1310,""
2012-03-01,Patagonia,1 y 2 estrellas,1353,""
2012-03-01,Patagonia,3 estrellas/boutiques/aparts,2703,""
2012-03-01,Patagonia,4 y 5 estrellas,2996,""
2012-03-01,Patagonia,Para Hoteles,2263,""
2012-04-01,Buenos Aires,1 y 2 estrellas,1217,""
2012-04-01,Buenos Aires,3 estrellas/boutiques/aparts,2026,""
2012-04-01,Buenos Aires,4 y 5 estrellas,1622,""
2012-04-01,Buenos Aires,Para Hoteles,2942,""
