indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,2766,""
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3501,""
2012-01-01,Buenos Aires,4 y 5 estrellas,2103,""
2012-01-01,Buenos Aires,Para Hoteles,4704,""
2012-01-01,CABA,1 y 2 estrellas,1117,""
2012-01-01,CABA,3 estrellas/boutiques/aparts,3993,""
2012-01-01,CABA,4 y 5 estrellas,9029,""
2012-01-01,CABA,Para Hoteles,1990,""
2012-01-01,Cuyo,1 y 2 estrellas,1247,""
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,2142,""
2012-01-01,Cuyo,4 y 5 estrellas,2728,""
2012-01-01,Cuyo,Para Hoteles,1245,""
2012-01-01,Córdoba,1 y 2 estrellas,1936,""
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,1895,""
2012-01-01,Córdoba,4 y 5 estrellas,989,""
2012-01-01,Córdoba,Para Hoteles,2889,""
2012-01-01,Litoral,1 y 2 estrellas,1069,""
2012-01-01,Litoral,3 estrellas/boutiques/aparts,2092,""
2012-01-01,Litoral,4 y 5 estrellas,3665,""
2012-01-01,Litoral,Para Hoteles,2505,""
2012-01-01,Norte,1 y 2 estrellas,932,""
2012-01-01,Norte,3 estrellas/boutiques/aparts,1769,""
2012-01-01,Norte,4 y 5 estrellas,1431,""
2012-01-01,Norte,Para Hoteles,1797,""
2012-01-01,Patagonia,1 y 2 estrellas,1934,""
2012-01-01,Patagonia,3 estrellas/boutiques/aparts,3014,""
2012-01-01,Patagonia,4 y 5 estrellas,3158,""
2012-01-01,Patagonia,Para Hoteles,3398,""
2012-02-01,Buenos Aires,1 y 2 estrellas,2810,""
2012-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3447,""
2012-02-01,Buenos Aires,4 y 5 estrellas,2323,""
2012-02-01,Buenos Aires,Para Hoteles,4942,""
2012-02-01,CABA,1 y 2 estrellas,1084,""
2012-02-01,CABA,3 estrellas/boutiques/aparts,4033,""
2012-02-01,CABA,4 y 5 estrellas,8893,""
2012-02-01,CABA,Para Hoteles,1864,""
2012-02-01,Cuyo,1 y 2 estrellas,1300,""
2012-02-01,Cuyo,3 estrellas/boutiques/aparts,2181,""
2012-02-01,Cuyo,4 y 5 estrellas,2657,""
2012-02-01,Cuyo,Para Hoteles,1221,""
2012-02-01,Córdoba,1 y 2 estrellas,2024,""
2012-02-01,Córdoba,3 estrellas/boutiques/aparts,1785,""
2012-02-01,Córdoba,4 y 5 estrellas,902,""
2012-02-01,Córdoba,Para Hoteles,2790,""
2012-02-01,Litoral,1 y 2 estrellas,1017,""
2012-02-01,Litoral,3 estrellas/boutiques/aparts,2099,""
2012-02-01,Litoral,4 y 5 estrellas,3703,""
2012-02-01,Litoral,Para Hoteles,2525,""
2012-02-01,Norte,1 y 2 estrellas,999,""
2012-02-01,Norte,3 estrellas/boutiques/aparts,1772,""
2012-02-01,Norte,4 y 5 estrellas,1484,""
2012-02-01,Norte,Para Hoteles,1823,""
2012-02-01,Patagonia,1 y 2 estrellas,1693,""
2012-02-01,Patagonia,3 estrellas/boutiques/aparts,2970,""
2012-02-01,Patagonia,4 y 5 estrellas,3207,""
2012-02-01,Patagonia,Para Hoteles,3228,""
2012-03-01,Buenos Aires,1 y 2 estrellas,2201,""
2012-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2667,""
2012-03-01,Buenos Aires,4 y 5 estrellas,1992,""
2012-03-01,Buenos Aires,Para Hoteles,4552,""
2012-03-01,CABA,1 y 2 estrellas,1063,""
2012-03-01,CABA,3 estrellas/boutiques/aparts,3980,""
2012-03-01,CABA,4 y 5 estrellas,9136,""
2012-03-01,CABA,Para Hoteles,1861,""
2012-03-01,Cuyo,1 y 2 estrellas,1307,""
2012-03-01,Cuyo,3 estrellas/boutiques/aparts,2201,""
2012-03-01,Cuyo,4 y 5 estrellas,2655,""
2012-03-01,Cuyo,Para Hoteles,1172,""
2012-03-01,Córdoba,1 y 2 estrellas,1787,""
2012-03-01,Córdoba,3 estrellas/boutiques/aparts,1700,""
2012-03-01,Córdoba,4 y 5 estrellas,936,""
2012-03-01,Córdoba,Para Hoteles,2396,""
2012-03-01,Litoral,1 y 2 estrellas,1102,""
2012-03-01,Litoral,3 estrellas/boutiques/aparts,2122,""
2012-03-01,Litoral,4 y 5 estrellas,3859,""
2012-03-01,Litoral,Para Hoteles,2439,""
2012-03-01,Norte,1 y 2 estrellas,1030,""
2012-03-01,Norte,3 estrellas/boutiques/aparts,1899,""
