indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,43.03,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,104.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Buenos Aires,4 y 5 estrellas,153.39,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Buenos Aires,Para Hoteles,60.12,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Buenos Aires,Total,74.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,CABA,1 y 2 estrellas,46.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,CABA,3 estrellas/boutiques/aparts,83.05,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,CABA,4 y 5 estrellas,128.38,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,CABA,Para Hoteles,24.32,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,CABA,Total,88.04,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Cuyo,1 y 2 estrellas,38.46,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,64.07,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Cuyo,4 y 5 estrellas,107.24,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Cuyo,Para Hoteles,43.54,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Cuyo,Total,63.46,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Córdoba,1 y 2 estrellas,57.95,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,85.7,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Córdoba,4 y 5 estrellas,84.76,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-01-01,Córdoba,Para Hoteles,82.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
